StreetAddress,City,State,ZipCode,AUTO_UNIQUE_ID_2024-05-08_Charissa-Roeuiowaedu_Addresses,TransactionId,TimeTaken,Source,Version,UpdatedGeocoding,ErrorMessage,Latitude,Longitude,MatchType,FeatureMatchingGeographyType,MicroMatchStatus,MatchScore,GeocodeQualityType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,PenaltyCode,PenaltyCodeSummary,InterpolationType,InterpolationSubType,MatchedLocationType,FeatureMatchingResultType,FeatureMatchingResultCount,FeatureMatchingResultTypeNotes,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,OutputGeocodes,MNumber,MNumberFractional,MPreDirectional,MPreQualifier,MPreType,MPreArticle,MName,MPostArticle,MSuffix,MPostQualifier,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,PNumber,PNumberFractional,PPreDirectional,PPreQualifier,PPreType,PPreArticle,PName,PPostArticle,PSuffix,PPostQualifier,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5
203 W HARRISON,JEFFERSON,IA,50129,529,ecf0a36e-fc76-4ce3-abbd-ed29cd733f24,1.261387,TAMUGeocoder,5.0.0,1,,42.0142327327094,-94.3761111291158,,StreetSegment,Match,97.0414201183432,,2512.44,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},203,,W,,,,HARRISON,,,,,,,,,JEFFERSON,,,,,IA,50129,,,,,,203,,W,,,,HARRISON,,,,,,,,,JEFFERSON,,,,,IA,50129,,,,,
203 W HARRISON,JEFFERSON,IA,50129,530,238b74c1-e8cf-4ca8-96c7-4956504f3a6c,0.8193309,TAMUGeocoder,5.0.0,1,,42.0142327327094,-94.3761111291158,,StreetSegment,Match,97.0414201183432,,2512.44,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},203,,W,,,,HARRISON,,,,,,,,,JEFFERSON,,,,,IA,50129,,,,,,203,,W,,,,HARRISON,,,,,,,,,JEFFERSON,,,,,IA,50129,,,,,
203 W HARRISON,JEFFERSON,IA,50129,531,5a8d7a8d-ff04-443d-8667-a409b3fa4c61,0.8600064,TAMUGeocoder,5.0.0,1,,42.0142327327094,-94.3761111291158,,StreetSegment,Match,97.0414201183432,,2512.44,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},203,,W,,,,HARRISON,,,,,,,,,JEFFERSON,,,,,IA,50129,,,,,,203,,W,,,,HARRISON,,,,,,,,,JEFFERSON,,,,,IA,50129,,,,,
410 SAND STREET,CHURDAN,IA,50050,532,8b1ae9c8-1996-40b9-b21f-d8a5e94e21cc,0.802659,TAMUGeocoder,5.0.0,1,,42.1553120141596,-94.4779010023179,,StreetSegment,Match,100,,2368.29,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},410,,,,,,SAND,,ST,,,,,,,CHURDAN,,,,,IA,50050,,,,,,410,,,,,,SAND,,ST,,,,,,,CHURDAN,,,,,IA,50050,,,,,
900 EAGLE STREET,SCRANTON,IA,51462,533,ef7cf32b-be97-483d-8a09-141c30c66641,0.1250045,TAMUGeocoder,5.0.0,1,,42.021945970448,-94.5429015119201,,StreetSegment,Match,100,,2202.36,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},900,,,,,,EAGLE,,ST,,,,,,,SCRANTON,,,,,IA,51462,,,,,,900,,,,,,EAGLE,,ST,,,,,,,SCRANTON,,,,,IA,51462,,,,,
114 NORTH MAIN STREET,CONRAD,IA,50621,534,dcf9bf98-30fc-492e-bf24-8ebf00cee674,0.3288878,TAMUGeocoder,5.0.0,1,,42.2511210380454,-92.9210290753402,,ZCTA,Match,100,,165398899.34,Meters,09,AddressZIPCentroid,MMFM3F7MMMFFF7,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},114,,N,,,,MAIN,,ST,,,,,,,CONRAD,,,,,IA,50621,,,,,,114,,N,,,,MAIN,,ST,,,,,,,CONRAD,,,,,IA,50621,,,,,
705 F AVENUE,GRUNDY CENTER,IA,50638,535,70869595-9beb-481d-a1be-a17e9184a599,0.0726643,TAMUGeocoder,5.0.0,1,,42.3625423754366,-92.7727035947085,,StreetSegment,Match,100,,2520.21,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},705,,,,,,F,,AVE,,,,,,,GRUNDY CENTER,,,,,IA,50638,,,,,,705,,,,,,F,,AVE,,,,,,,GRUNDY CENTER,,,,,IA,50638,,,,,
411 NORTH ADAMS STREET,WELLSBURG,IA,50680,536,ae626836-d84e-4792-ac9d-f14dacd061f8,0.0638867,TAMUGeocoder,5.0.0,1,,42.4341158648589,-92.9262846750682,,StreetSegment,Match,100,,2386.95,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},411,,N,,,,ADAMS,,ST,,,,,,,WELLSBURG,,,,,IA,50680,,,,,,411,,N,,,,ADAMS,,ST,,,,,,,WELLSBURG,,,,,IA,50680,,,,,
17040 MARKET AVENUE,HOLLAND,IA,50642,537,dc358717-dab0-467e-a8f9-92e0888ccc08,0.3443505,TAMUGeocoder,5.0.0,1,,42.4398058895619,-92.8127315605108,,ZCTA,Match,100,,83383673.72,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFF9,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},17040,,,,,,MARKET,,AVE,,,,,,,HOLLAND,,,,,IA,50642,,,,,,17040,,,,,,MARKET,,AVE,,,,,,,HOLLAND,,,,,IA,50642,,,,,
133 EAST ELDER STREET,DIKE,IA,50624,538,e27b2937-affe-460f-b951-e08feda5b8cf,0.1249656,TAMUGeocoder,5.0.0,1,,42.4651167156671,-92.6272218700964,,StreetSegment,Match,100,,2593.87,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},133,,E,,,,ELDER,,ST,,,,,,,DIKE,,,,,IA,50624,,,,,,133,,E,,,,ELDER,,ST,,,,,,,DIKE,,,,,IA,50624,,,,,
208 BROAD STREET,REINBECK,IA,50669,539,5d438b8a-c807-41b1-956c-277b63d4fea2,0.0781257,TAMUGeocoder,5.0.0,1,,42.3237642174634,-92.5977060815461,,StreetSegment,Match,100,,2535.71,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},208,,,,,,BROAD,,ST,,,,,,,REINBECK,,,,,IA,50669,,,,,,208,,,,,,BROAD,,ST,,,,,,,REINBECK,,,,,IA,50669,,,,,
705 F AVENUE,GRUNDY CENTER,IA,50638,540,ef5cea30-2fec-465b-b12c-203e498a4e2a,0.0625043,TAMUGeocoder,5.0.0,1,,42.3625423754366,-92.7727035947085,,StreetSegment,Match,100,,2520.21,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},705,,,,,,F,,AVE,,,,,,,GRUNDY CENTER,,,,,IA,50638,,,,,,705,,,,,,F,,AVE,,,,,,,GRUNDY CENTER,,,,,IA,50638,,,,,
104 W SHERMAN,CASEY,IA,50048,541,dd91a088-835d-4b12-a9f5-56de3f3766ac,0.1093739,TAMUGeocoder,5.0.0,1,,41.5055945117542,-94.5213929437887,,StreetSegment,Match,97.0414201183432,,915.93,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},104,,W,,,,SHERMAN,,,,,,,,,CASEY,,,,,IA,50048,,,,,,104,,W,,,,SHERMAN,,,,,,,,,CASEY,,,,,IA,50048,,,,,
115 W. MAIN STREET,PANORA,IA,50216,542,37ff01c3-46b4-45c2-9e19-bb82cbe396d9,0.2187829,TAMUGeocoder,5.0.0,1,,41.6927415,-94.3645561,,Parcel,Match,97.9289940828402,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},115,,W,,,,MAIN,,ST,,,,,,,PANORA,,,,,IA,50216,,,,,,115,,W,,,,MAIN,,ST,,,,,,,PANORA,,,,,IA,50216,,,,,
117 W. MAIN STREET,PANORA,IA,50216,543,b71c0192-4fdb-4c4a-b336-612652fe479e,0.0468793,TAMUGeocoder,5.0.0,1,,41.6917227387894,-94.3645833782075,,StreetSegment,Match,100,,2873.39,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},117,,W,,,,MAIN,,ST,,,,,,,PANORA,,,,,IA,50216,,,,,,117,,W,,,,MAIN,,ST,,,,,,,PANORA,,,,,IA,50216,,,,,
105 N. 4TH STREET,GUTHRIE CENTER,IA,50115,544,2bb1839c-1764-41e7-949c-b106d9eea5d1,0.6738786,TAMUGeocoder,5.0.0,1,,41.6772896588261,-94.5035482765742,,StreetSegment,Match,100,,1351.49,Meters,03,StreetSegmentInterpolation,MMMMMFMMMAFFFD,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},105,,N,,,,4TH,,ST,,,,,,,GUTHRIE CENTER,,,,,IA,50115,,,,,,105,,N,,,,4TH,,ST,,,,,,,GUTHRIE CENTER,,,,,IA,50115,,,,,
211 MAIN STREET,YALE,IA,50277,545,5ebd5e3f-2487-4849-9826-57340cd5efaa,0.109381,TAMUGeocoder,5.0.0,1,,41.7779033595199,-94.3548824122301,,StreetSegment,Match,97.9289940828402,,2133.45,Meters,03,StreetSegmentInterpolation,MMMMMMAMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},211,,,,,,MAIN,,ST,,,,,,,YALE,,,,,IA,50277,,,,,,211,,,,,,MAIN,,ST,,,,,,,YALE,,,,,IA,50277,,,,,
224 N DIVISION STREET,STUART,IA,50250,546,73221f42-ed10-4234-b455-a12bd3200991,0.5293968,TAMUGeocoder,5.0.0,1,,41.5051847915928,-94.3183952560684,,StreetSegment,Match,100,,2970.69,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},224,,N,,,,DIVISION,,ST,,,,,,,STUART,,,,,IA,50250,,,,,,224,,N,,,,DIVISION,,ST,,,,,,,STUART,,,,,IA,50250,,,,,
301 3RD ST,BAYARD,IA,50029,547,4295606e-5515-4d57-9ce0-8142bb61b950,0.5956352,TAMUGeocoder,5.0.0,1,,41.8516944734631,-94.5564598268398,,StreetSegment,Match,100,,1445.16,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},301,,,,,,3RD,,ST,,,,,,,BAYARD,,,,,IA,50029,,,,,,301,,,,,,3RD,,ST,,,,,,,BAYARD,,,,,IA,50029,,,,,
105 N. 4TH STREET,GUTHRIE CENTER,IA,50115,548,301d441d-0b03-4fd5-8c8f-9ac912bca833,0.3143467,TAMUGeocoder,5.0.0,1,,41.6772896588261,-94.5035482765742,,StreetSegment,Match,100,,1351.49,Meters,03,StreetSegmentInterpolation,MMMMMFMMMAFFFD,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},105,,N,,,,4TH,,ST,,,,,,,GUTHRIE CENTER,,,,,IA,50115,,,,,,105,,N,,,,4TH,,ST,,,,,,,GUTHRIE CENTER,,,,,IA,50115,,,,,
1229 KATHY LANE,WEBSTER CITY,IA,50595,549,0ffc2465-387b-42e6-92fc-4d0c8cc31885,0.7328565,TAMUGeocoder,5.0.0,1,,42.4611693914496,-93.8338919429714,,StreetSegment,Match,100,,7846.24,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1229,,,,,,KATHY,,LN,,,,,,,WEBSTER CITY,,,,,IA,50595,,,,,,1229,,,,,,KATHY,,LN,,,,,,,WEBSTER CITY,,,,,IA,50595,,,,,
516 LAKE ST,BLAIRSBURG,IA,50034,550,e9ef827c-da91-4482-b6b1-d3acd11e2f44,0.4737605,TAMUGeocoder,5.0.0,1,,42.4801069052743,-93.6431369366314,,StreetSegment,Match,100,,1691.27,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFD,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},516,,,,,,LAKE,,ST,,,,,,,BLAIRSBURG,,,,,IA,50034,,,,,,516,,,,,,LAKE,,ST,,,,,,,BLAIRSBURG,,,,,IA,50034,,,,,
600 MAIN ST,STANHOPE,IA,50246,551,26f2a8c9-e6fa-4c60-8043-a5dcd64dfe5a,0.0940459,TAMUGeocoder,5.0.0,1,,42.2890330129612,-93.7946511347389,,StreetSegment,Match,100,,1510.97,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},600,,,,,,MAIN,,ST,,,,,,,STANHOPE,,,,,IA,50246,,,,,,600,,,,,,MAIN,,ST,,,,,,,STANHOPE,,,,,IA,50246,,,,,
315 DIVISION ST,JEWELL,IA,50130,552,ae6032f0-ce14-4e41-89aa-d514cbfbacbe,0.5795649,TAMUGeocoder,5.0.0,1,,42.3016308752441,-93.6449305413129,,StreetSegment,Review,98.9940828402367,,2189.99,Meters,03,StreetSegmentInterpolation,MMMM32MMMAFFFD,MMMMRMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},315,,,,,,DIVISION,,ST,,,,,,,JEWELL,,,,,IA,50130,,,,,,315,,,,,,DIVISION,,ST,,,,,,,JEWELL,,,,,IA,50130,,,,,
1629 DEWITT ST,ELLSWORTH,IA,50075,553,9761818a-12c5-4cb5-87db-f128acfface2,0.6255938,TAMUGeocoder,5.0.0,1,,42.3131380822081,-93.5788124674271,,StreetSegment,Match,100,,3456.24,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1629,,,,,,DEWITT,,ST,,,,,,,ELLSWORTH,,,,,IA,50075,,,,,,1629,,,,,,DEWITT,,ST,,,,,,,ELLSWORTH,,,,,IA,50075,,,,,
919 SUPERIOR ST,WEBSTER CITY,IA,50595,554,e2cda76e-a86e-41c7-929a-e12a4e7e17aa,0.5320102,TAMUGeocoder,5.0.0,1,,42.4671042707104,-93.8159096578781,,StreetSegment,Match,100,,1395.98,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},919,,,,,,SUPERIOR,,ST,,,,,,,WEBSTER CITY,,,,,IA,50595,,,,,,919,,,,,,SUPERIOR,,ST,,,,,,,WEBSTER CITY,,,,,IA,50595,,,,,
1005 BEACH ST,WEBSTER CITY,IA,50595,555,cd0a895f-efa2-4a12-9520-17e19dde577e,0.5156215,TAMUGeocoder,5.0.0,1,,42.4665185591063,-93.8354598922279,,StreetSegment,Match,100,,1361.8,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1005,,,,,,BEACH,,ST,,,,,,,WEBSTER CITY,,,,,IA,50595,,,,,,1005,,,,,,BEACH,,ST,,,,,,,WEBSTER CITY,,,,,IA,50595,,,,,
543 DIVISION ST,WEBSTER CITY,IA,50595,556,fc0c6954-1988-45db-be10-d9f3ad3ae25b,0.5164203,TAMUGeocoder,5.0.0,1,,42.4675660700228,-93.8180599091911,,StreetSegment,Match,100,,3934.46,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},543,,,,,,DIVISION,,ST,,,,,,,WEBSTER CITY,,,,,IA,50595,,,,,,543,,,,,,DIVISION,,ST,,,,,,,WEBSTER CITY,,,,,IA,50595,,,,,
1985 290TH ST,GARNER,IA,50438,557,510a17c8-f3e0-4e18-82cd-da620cd133b7,0.6411148,TAMUGeocoder,5.0.0,1,,43.1842256999363,-93.5993258030725,,StreetSegment,Review,98.9940828402367,,12771.77,Meters,03,StreetSegmentInterpolation,MMMM32MMMFFFFC,MMMMRMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1985,,,,,,290TH,,ST,,,,,,,GARNER,,,,,IA,50438,,,,,,1985,,,,,,290TH,,ST,,,,,,,GARNER,,,,,IA,50438,,,,,
225 S STATE AVE,CRYSTAL LAKE,IA,50432,558,1747854f-16df-4af6-8cf0-83713b9d250c,0.3593603,TAMUGeocoder,5.0.0,1,,43.2224904614148,-93.7900805513096,,StreetSegment,Review,93.4319526627219,,2351.61,Meters,03,StreetSegmentInterpolation,MMMMMF8MMFFFFD,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},225,,S,,,,STATE,,AVE,,,,,,,CRYSTAL LAKE,,,,,IA,50432,,,,,,225,,S,,,,STATE,,AVE,,,,,,,CRYSTAL LAKE,,,,,IA,50432,,,,,
208 MAIN ST,WODEN,IA,50484,559,6dd55b24-35af-4f6f-b035-94131b739726,0.0625232,TAMUGeocoder,5.0.0,1,,43.2319309390793,-93.9100363745081,,StreetSegment,Match,97.0414201183432,,2330.39,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},208,,,,,,MAIN,,ST,,,,,,,WODEN,,,,,IA,50484,,,,,,208,,,,,,MAIN,,ST,,,,,,,WODEN,,,,,IA,50484,,,,,
170 MAIN AVE S,BRITT,IA,50423,560,1f02468c-ec51-46e0-8dbd-bf0df9638c2e,0.0625059,TAMUGeocoder,5.0.0,1,,43.095751390679,-93.8018505482994,,StreetSegment,Match,100,,2326.19,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},170,,,,,,MAIN,,AVE,,S,,,,,BRITT,,,,,IA,50423,,,,,,170,,,,,,MAIN,,AVE,,S,,,,,BRITT,,,,,IA,50423,,,,,
2337 NATION AVE,BRITT,IA,50423,561,6b10ad32-1007-483b-a054-1f0d9a4c87de,0.4218831,TAMUGeocoder,5.0.0,1,,43.1093173303776,-93.812643847118,,ZCTA,Match,100,,375708858.19,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFFB,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},2337,,,,,,NATION,,AVE,,,,,,,BRITT,,,,,IA,50423,,,,,,2337,,,,,,NATION,,AVE,,,,,,,BRITT,,,,,IA,50423,,,,,
416 STATE ST,GARNER,IA,50438,562,33a6a411-0424-4887-8474-ed668c3bc288,0.0468709,TAMUGeocoder,5.0.0,1,,43.1006741808999,-93.602164006191,,StreetSegment,Match,100,,2365.95,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},416,,,,,,STATE,,ST,,,,,,,GARNER,,,,,IA,50438,,,,,,416,,,,,,STATE,,ST,,,,,,,GARNER,,,,,IA,50438,,,,,
204 E MAIN ST,KLEMME,IA,50449,563,1cb0ddfd-feaa-4bfa-b49e-a07fbf2981fe,0.0624858,TAMUGeocoder,5.0.0,1,,43.0068589927219,-93.6007406784881,,StreetSegment,Match,97.9289940828402,,2422.24,Meters,03,StreetSegmentInterpolation,MMMMMM7MMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},204,,E,,,,MAIN,,ST,,,,,,,KLEMME,,,,,IA,50449,,,,,,204,,E,,,,MAIN,,ST,,,,,,,KLEMME,,,,,IA,50449,,,,,
110 WAYNE ST,CORWITH,IA,50430,564,65b1bd4f-5d12-489c-b158-b65042d30d43,0.1093799,TAMUGeocoder,5.0.0,1,,42.9953205043734,-93.9570817658188,,StreetSegment,Match,100,,2333.03,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},110,,,,,,WAYNE,,ST,,,,,,,CORWITH,,,,,IA,50430,,,,,,110,,,,,,WAYNE,,ST,,,,,,,CORWITH,,,,,IA,50430,,,,,
121 N MAIN ST,KANAWHA,IA,50447,565,bf5ef91c-fd09-4f4b-b1d4-01f2b9615157,0.0474303,TAMUGeocoder,5.0.0,1,,42.9345158771746,-93.7931350802793,,StreetSegment,Match,100,,2552.88,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},121,,N,,,,MAIN,,ST,,,,,,,KANAWHA,,,,,IA,50447,,,,,,121,,N,,,,MAIN,,ST,,,,,,,KANAWHA,,,,,IA,50447,,,,,
315 BROADWAY ST,GOODELL,IA,50439,566,fa24398b-18d9-4da0-b593-fb1c52498d5d,0.0468616,TAMUGeocoder,5.0.0,1,,42.9241666429309,-93.6121949942189,,StreetSegment,Match,100,,2459.51,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},315,,,,,,BROADWAY,,ST,,,,,,,GOODELL,,,,,IA,50439,,,,,,315,,,,,,BROADWAY,,ST,,,,,,,GOODELL,,,,,IA,50439,,,,,
506 WEST ST.,ALDEN,IA,50006,567,c5393df2-8e9d-4c24-8a92-901b7ab65f7b,0.0624958,TAMUGeocoder,5.0.0,1,,42.5185702988376,-93.3813584072404,,StreetSegment,Match,100,,2435.74,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},506,,,,,,WEST,,ST,,,,,,,ALDEN,,,,,IA,50006,,,,,,506,,,,,,WEST,,ST,,,,,,,ALDEN,,,,,IA,50006,,,,,
218 N IOWA ST,HUBBARD,IA,50122,568,e9f7f432-002b-48fc-a1d4-2e6b3c679c3a,0.2506108,TAMUGeocoder,5.0.0,1,,42.3067766,-93.2957668,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},218,,N,,,,IOWA,,ST,,,,,,,HUBBARD,,,,,IA,50122,,,,,,218,,N,,,,IOWA,,ST,,,,,,,HUBBARD,,,,,IA,50122,,,,,
1442 WASHINGTON ST.,ELDORA,IA,50627,569,2e4a7291-5d8c-4f4f-b6b2-75d44ea4fe9f,0.5095324,TAMUGeocoder,5.0.0,1,,42.3592266836701,-93.0995631752415,,StreetSegment,Match,100,,2382.89,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFF,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1442,,,,,,WASHINGTON,,ST,,,,,,,ELDORA,,,,,IA,50627,,,,,,1442,,,,,,WASHINGTON,,ST,,,,,,,ELDORA,,,,,IA,50627,,,,,
1031 EDGINGTON AVE,ELDORA,IA,50627,570,006e5027-36b7-45bf-9aef-7f8182150a48,0.0625001,TAMUGeocoder,5.0.0,1,,42.3606343696427,-93.0962342198132,,StreetSegment,Match,100,,2307.95,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1031,,,,,,EDGINGTON,,AVE,,,,,,,ELDORA,,,,,IA,50627,,,,,,1031,,,,,,EDGINGTON,,AVE,,,,,,,ELDORA,,,,,IA,50627,,,,,
